epoch,train_loss,train_acc,val_loss,val_acc
1,2.02098028087616,0.2721,1.8968374935150147,0.3359
2,1.8212900592803956,0.3727,1.779706973838806,0.4049
3,1.7067894611358643,0.437225,1.6740896240234375,0.4517
4,1.6506653493881225,0.4631,1.5281686367034912,0.5212
5,1.595828611755371,0.4902,1.5405408958435058,0.5253
6,1.5543958093643189,0.5099,1.466106245803833,0.5494
7,1.5226719944000244,0.522,1.4607489709854127,0.5601
8,1.49209449634552,0.54205,1.4306886837005615,0.5701
9,1.4716972232818604,0.554475,1.3813423833847045,0.5978
10,1.4299154203414917,0.569775,1.3867344152450563,0.5931
11,1.4053203399658203,0.58135,1.3288571668624878,0.6172
12,1.3713926927566529,0.599275,1.2949513103485106,0.6351
13,1.3452558826446532,0.613125,1.265591958427429,0.6489
14,1.3192320049285888,0.62255,1.2323915105819703,0.6653
15,1.2906137710571288,0.63655,1.1987622388839723,0.6796
16,1.2599775327682494,0.652625,1.2015112865447999,0.6809
17,1.2408874710083009,0.664425,1.1811821266174316,0.6857
18,1.2070958862304688,0.67815,1.1688106273651122,0.6957
19,1.1864834629058838,0.689275,1.1472653657913208,0.7085
20,1.1669460947036743,0.69755,1.0958566188812255,0.7303
21,1.1453736406326294,0.705975,1.090245128250122,0.7333
22,1.1210707525253296,0.720575,1.0851682640075684,0.7359
23,1.1024498287200928,0.726375,1.0662452075958253,0.7422
24,1.0806177066802978,0.7381,1.055230421447754,0.7463
25,1.0645591665267944,0.7454,1.0549242757797241,0.7475
26,1.0438852328300476,0.75255,1.0222594425201417,0.7638
27,1.0335363264083863,0.76025,1.0125342790603638,0.7708
28,1.0101305282592774,0.7706,1.0195433670043945,0.7638
29,0.9941215191841125,0.778325,1.0113463577270507,0.7711
30,0.9827216753005982,0.78245,1.0138330585479736,0.7693
31,0.9689448097229004,0.788175,0.9897933731079102,0.7838
32,0.9589259548187256,0.79315,0.9915644315719605,0.7776
33,0.9466695428848266,0.798625,0.9892591554641723,0.7816
34,0.9322458798408508,0.8058,0.9846138858795166,0.7852
35,0.9302566326141357,0.80535,0.9802806291580201,0.7878
36,0.916461736869812,0.81175,0.9776274753570556,0.7907
37,0.916154571056366,0.814075,0.9788466728210449,0.7911
38,0.9070782270431519,0.818925,0.9783048873901368,0.7904
39,0.909553723526001,0.816975,0.9781768884658814,0.7908
40,0.9092862934112549,0.815725,0.9780904024124145,0.7904
